root_id,classification_system,cell_type,num_synapses
720575940637603038,flow,efferent,4836
720575940630334658,flow,efferent,1159
720575940645693476,flow,efferent,1408
720575940614352278,flow,efferent,5051
720575940618156829,flow,efferent,4383
720575940623274966,flow,efferent,7977
720575940646814340,flow,efferent,6240
720575940622632084,flow,efferent,2048
720575940640325429,flow,efferent,14371
720575940632836675,flow,efferent,1473
720575940623338281,flow,efferent,15520
720575940622204186,flow,efferent,2613
720575940632512156,flow,efferent,711
720575940603980256,flow,efferent,1374
720575940621196037,flow,efferent,731
720575940613358450,flow,efferent,801
720575940603874784,flow,efferent,3652
720575940623626986,flow,efferent,966
720575940618238523,flow,efferent,3183
720575940628441862,flow,efferent,5604
720575940627828552,flow,efferent,4018
720575940620823828,flow,efferent,1369
720575940612429743,flow,efferent,459
720575940626806046,flow,efferent,2826
720575940627538434,flow,efferent,536
720575940617918021,flow,efferent,2239
720575940625815562,flow,efferent,2529
720575940626889491,flow,efferent,3430
720575940622594186,flow,efferent,5120
720575940633771745,flow,efferent,4120
720575940620561840,flow,efferent,7482
720575940613403890,flow,efferent,9160
720575940615030568,flow,efferent,3991
720575940635701655,flow,efferent,1421
720575940625890888,flow,efferent,990
720575940625573322,flow,efferent,1111
720575940613589167,flow,efferent,1706
720575940613558509,flow,efferent,3585
720575940631627551,flow,efferent,1465
720575940619910080,flow,efferent,517
720575940628467830,flow,efferent,1773
720575940607971337,flow,efferent,1121
720575940630980559,flow,efferent,1611
720575940641276917,flow,efferent,1988
720575940629413962,flow,efferent,11636
720575940624977847,flow,efferent,6188
720575940623142426,flow,efferent,3927
720575940632788025,flow,efferent,488
720575940642545883,flow,efferent,8902
720575940615607207,flow,efferent,13912
720575940615023535,flow,efferent,8998
720575940620625880,flow,efferent,992
720575940640316238,flow,efferent,5690
720575940621071495,flow,efferent,466
720575940625796839,flow,efferent,787
720575940633178508,flow,efferent,1930
720575940633529548,flow,efferent,15903
720575940628844712,flow,efferent,4106
720575940628825348,flow,efferent,901
720575940640140733,flow,efferent,1376
720575940626094350,flow,efferent,1664
720575940639152361,flow,efferent,6617
720575940613307033,flow,efferent,8020
720575940611498419,flow,efferent,1914
720575940629472298,flow,efferent,2255
720575940621119061,flow,efferent,764
720575940644726432,flow,efferent,1002
720575940633195148,flow,efferent,712
720575940653614838,flow,efferent,1426
720575940613929391,flow,efferent,2144
720575940613019541,flow,efferent,6943
720575940618594022,flow,efferent,10001
720575940614075363,flow,efferent,920
720575940621388453,flow,efferent,4477
720575940630665210,flow,efferent,2459
720575940621246068,flow,efferent,1981
720575940624407944,flow,efferent,3648
720575940650929273,flow,efferent,44491
720575940632458514,flow,efferent,776
720575940631543414,flow,efferent,1492
720575940631299855,flow,efferent,1698
720575940614363619,flow,efferent,1048
720575940608332674,flow,efferent,828
720575940636656632,flow,efferent,10114
720575940636098367,flow,efferent,756
720575940628885160,flow,efferent,9804
720575940641237632,flow,efferent,1216
720575940627771279,flow,efferent,4058
720575940623491987,flow,efferent,502
720575940625054901,flow,efferent,1442
720575940615495867,flow,efferent,455
